Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten/kota (Persen)
"Kabupaten/Kota,2025,2024,2023,2022,2021"
"Hulu Sungai Selatan,6.16,4.9,6.26,5.64,3.7"
"Hulu Sungai Tengah,3.9,4.95,5.55,8.79,4.52"
"Hulu Sungai Utara,5.06,5.18,5.63,5.68,4.23"
"Tabalong,2.52,3.06,4.15,3.21,2.26"
"Tanah Bumbu,2.48,2.17,2.31,1.93,2.01"
"Balangan,3.71,3.41,6.04,4.65,2.96"
"Kota Banjarmasin,4.42,3.52,3.56,4.06,2.11"
"Kota Banjar Baru,3.53,2.75,2.31,2.72,2.13"
"Paser,11.06,8.44,11.99,20.54,15.37"
"Kutai Barat,8.33,7.23,12.63,16.39,14.2"
"Kutai Kartanegara,8.69,8.06,10.59,18.52,14.41"
"Kutai Timur,7.98,6.6,8.7,16.35,10.9"
"Berau,6.84,6.66,7.86,14.16,12.3"
"Penajam Paser Utara,8.45,8.2,16.34,23.09,16.6"
"Mahakam Ulu,9.02,8.18,13.82,18.22,10.76"
"Kota Balikpapan,8.24,5.9,6.98,13.68,8.3"
"Kota Samarinda,8.55,7.31,7.87,14.5,13.51"
"Kota Bontang,7.6,7.73,6.95,11.72,9.84"
"Malinau,13.95,11.44,16.44,19.89,16.35"
"Bulungan,12.2,12.74,15.43,22.21,13.63"
"Tana Tidung,13.58,14.96,16.78,21.82,12.2"
"Nunukan,17.84,17.73,19.75,27.98,16.8"
"Kota Tarakan,13.03,14.05,12.82,20.68,8.17"
"Bolaang Mongondow,6.11,5.38,6.38,6.82,7.25"
"Minahasa,4.08,5.51,5.42,5.38,7.32"
"Kepulauan Sangihe,10,12.6,11.12,9.29,10.22"
"Kepulauan Talaud,6.73,7.33,7.34,6.85,5.88"
"Minahasa Selatan,6.11,8.38,9.15,9.66,9.48"
"Minahasa Utara,6.19,7.47,7.11,6.87,6.91"
"Bolaang Mongondow Utara,8.94,8.51,8.54,7.35,6.26"
"Siau Tagulandang Biaro,7,8.24,8.85,8.23,9.55"
"Minahasa Tenggara,7.05,6.93,7.35,8.11,8"
"Bolaang Mongondow Selatan,5.84,6.46,6.57,7.28,8.4"
"Bolaang Mongondow Timur,6.58,6.24,6.55,6.28,6.92"
"Kota Manado,3.88,4.46,4.63,5.01,5.26"
"Kota Bitung,4.2,4.16,3.91,3.46,5.28"
"Kota Tomohon,4.15,4.15,3.75,3.24,5.43"
"Kota Kotamobagu,4.74,4,4.61,5.53,5.37"
"Banggai Kepulauan,19.4,18.73,16.56,16.26,16.14"
