"Indikator Pendidikan, 1994-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indikator,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,
Angka Buta Huruf 15 tahun ke Atas, 14.84 , 15.95 , 14.66 , 12.59 , 12.11 , 11.63 , 11.42 , 12.11 , 10.49 , 10.21 , 9.62 , 9.09 , 8.55 , 8.13 , 7.81 , 7.42 , 7.09 , 7.56 , 7.03 , 6.08 , 4.88 , 4.78 , 4.62 , 4.50 , 4.34 , 4.10 , 4.00 , 3.96 , 3.65 , 3.47 , 3.33 , 2.90 ,,,,,,,,,,,
Angka Buta Huruf 15-44 tahun, 6.90 , 7.45 , 6.89 , 5.54 , 5.15 , 4.63 , 4.50 , 4.78 , 3.75 , 3.88 , 3.30 , 3.09 , 2.89 , 2.96 , 1.95 , 1.80 , 1.71 , 2.31 , 2.03 , 1.61 , 1.24 , 1.10 , 1.00 , 0.94 , 0.86 , 0.76 , 0.80 , 0.73 , 0.75 , 0.47 , 0.43 , 0.43 ,,,,,,,,,,,
Angka Buta Huruf 45 tahun ke Atas, 36.06 , 37.80 , 34.54 , 31.00 , 29.74 , 28.83 , 28.54 , 30.31 , 26.84 , 25.43 , 24.87 , 22.83 , 21.09 , 18.94 , 19.59 , 18.68 , 18.25 , 18.15 , 17.17 , 15.15 , 12.25 , 11.89 , 11.47 , 11.08 , 10.60 , 9.92 , 9.46 , 9.24 , 8.48 , 8.04 , 7.66 , 6.50 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumber: BPS, Susenas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ket: * data tidak tersedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Pendidikan non formal yang dicakup adalah paket A setara SD sederajat, paket B setara SMP sederajat dan paket C setara SMA/SMK sederajat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
